Time,Data
03/04/2019 21:30,0.875
03/04/2019 22:00,0.825
03/04/2019 22:30,0.775
03/04/2019 23:00,0.7
03/04/2019 23:30,0.65
04/04/2019 00:00,0.625
04/04/2019 00:30,0.625
04/04/2019 01:00,0.65
04/04/2019 01:30,0.775
04/04/2019 02:00,0.8
04/04/2019 02:30,0.825
04/04/2019 03:00,0.8
04/04/2019 03:30,0.775
04/04/2019 04:00,0.775
04/04/2019 04:30,0.725
04/04/2019 05:00,0.725
04/04/2019 05:30,0.725
04/04/2019 06:00,0.725
04/04/2019 06:30,0.8
04/04/2019 07:00,0.85
04/04/2019 07:30,0.95
04/04/2019 08:00,1
04/04/2019 08:30,1
04/04/2019 09:00,0.975
04/04/2019 09:30,0.95
04/04/2019 10:00,0.925
04/04/2019 10:30,0.9
04/04/2019 11:00,0.9
04/04/2019 11:30,0.85
04/04/2019 12:00,0.85
04/04/2019 12:30,0.9
04/04/2019 13:00,0.85
04/04/2019 13:30,0.8
04/04/2019 14:00,0.85
04/04/2019 14:30,0.9
04/04/2019 15:00,0.875
04/04/2019 15:30,0.875
04/04/2019 16:00,0.9
04/04/2019 16:30,0.925
04/04/2019 17:00,0.975
04/04/2019 17:30,0.975
04/04/2019 18:00,0.975
04/04/2019 18:30,0.975
04/04/2019 19:00,0.975
04/04/2019 19:30,0.95
04/04/2019 20:00,0.95
04/04/2019 20:30,0.95
04/04/2019 21:00,0.9
04/04/2019 21:30,0.875
04/04/2019 22:00,0.825
04/04/2019 22:30,0.775
04/04/2019 23:00,0.7
04/04/2019 23:30,0.65
05/04/2019 00:00,0.625
05/04/2019 00:30,0.625
05/04/2019 01:00,0.65
05/04/2019 01:30,0.75
05/04/2019 02:00,0.8
05/04/2019 02:30,0.825
05/04/2019 03:00,0.8
05/04/2019 03:30,0.775
05/04/2019 04:00,0.75
05/04/2019 04:30,0.75
05/04/2019 05:00,0.725
05/04/2019 05:30,0.725
05/04/2019 06:00,0.725
05/04/2019 06:30,0.8
05/04/2019 07:00,0.875
05/04/2019 07:30,0.95
05/04/2019 08:00,1
05/04/2019 08:30,0.975
05/04/2019 09:00,0.95
05/04/2019 09:30,0.925
05/04/2019 10:00,0.9
05/04/2019 10:30,0.875
05/04/2019 11:00,0.9
05/04/2019 11:30,0.9
05/04/2019 12:00,0.925
05/04/2019 12:30,0.925
05/04/2019 13:00,0.925
05/04/2019 13:30,0.9
05/04/2019 14:00,0.875
05/04/2019 14:30,0.875
05/04/2019 15:00,0.85
05/04/2019 15:30,0.825
05/04/2019 16:00,0.85
05/04/2019 16:30,0.875
05/04/2019 17:00,0.9
05/04/2019 17:30,0.95
05/04/2019 18:00,0.975
05/04/2019 18:30,0.975
05/04/2019 19:00,0.975
05/04/2019 19:30,0.95
05/04/2019 20:00,0.95
05/04/2019 20:30,0.9
05/04/2019 21:00,0.875
05/04/2019 21:30,0.85
05/04/2019 22:00,0.775
05/04/2019 22:30,0.75
05/04/2019 23:00,0.675
05/04/2019 23:30,0.65
06/04/2019 00:00,0.6
,1
